CustomerID,year_month,monthly_txn_count,monthly_txn_amount
1,2022-07,1,1115.28
1,2023-05,1,3436.87
1,2024-03,1,3823.18
1,2024-10,1,7085.32
2,2025-02,1,8824.33
3,2022-07,1,3077.13
3,2022-10,1,7197.84
3,2023-03,1,5721.24
3,2023-04,1,4625.75
3,2023-06,1,7718.96
3,2024-02,1,7208.27
3,2024-05,1,3419.51
3,2024-07,1,389.04
3,2024-09,1,7165.33
3,2025-02,1,3300.73
4,2023-08,2,13379.130000000001
4,2024-03,1,9983.76
5,2022-12,1,1881.76
5,2023-01,1,2758.4
5,2023-02,1,5081.37
5,2023-03,2,3563.33
5,2023-07,2,8065.09
5,2023-11,1,5963.28
5,2024-04,2,9105.91
5,2024-06,1,431.87
5,2025-01,1,4680.84
5,2025-02,2,5292.68
5,2025-04,1,1765.36
8,2022-07,1,5089.06
8,2023-04,1,3993.61
8,2023-08,1,8301.41
8,2023-10,2,5999.11
8,2023-12,1,971.89
9,2022-09,1,7663.63
9,2023-11,1,7419.77
9,2024-09,1,2994.53
10,2022-07,1,9635.57
10,2022-09,1,6822.59
10,2022-10,1,6450.62
10,2023-01,1,7231.31
10,2023-10,1,7551.04
10,2025-03,1,6677.77
11,2024-11,1,1940.48
11,2024-12,1,6979.94
12,2022-08,1,5722.98
12,2023-02,1,3384.94
12,2023-11,1,6215.67
12,2024-03,1,5451.19
13,2023-09,1,3150.12
13,2023-11,1,2081.8
14,2022-06,2,10121.51
14,2022-07,2,12470.369999999999
14,2022-09,1,1618.77
14,2022-12,1,7046.36
14,2023-08,1,9691.0
14,2024-02,1,8414.29
14,2024-03,1,9720.93
14,2024-08,2,9887.17
14,2024-10,1,2090.48
14,2025-02,1,4115.15
14,2025-04,2,12001.24
14,2025-05,1,7955.15
16,2023-07,1,8496.04
16,2024-11,1,9883.38
21,2023-03,1,7693.64
21,2023-08,1,8582.36
21,2023-12,1,5459.37
21,2024-02,1,1324.45
21,2024-05,1,8596.75
22,2022-05,1,1400.07
22,2022-06,2,11411.710000000001
22,2022-11,1,1514.59
22,2022-12,1,7638.4
22,2023-02,2,13817.07
22,2024-02,1,4182.49
22,2024-05,1,9652.45
22,2024-06,1,139.3
22,2024-07,1,9661.31
22,2024-08,1,1639.04
22,2024-12,1,308.77
23,2022-05,1,2814.63
23,2022-07,1,3757.68
23,2023-02,1,2287.51
23,2023-03,1,5326.63
23,2023-04,1,3859.59
23,2023-05,1,9115.95
23,2023-09,1,1680.1
23,2024-03,1,1280.64
23,2024-06,1,5782.37
28,2022-06,1,4626.11
28,2023-07,1,3235.58
28,2023-08,1,7627.56
28,2023-10,1,9370.59
28,2023-11,1,6502.18
28,2024-01,1,566.19
28,2024-06,1,770.76
28,2024-07,1,9194.41
31,2024-05,1,4574.14
31,2025-03,1,25.48
32,2022-05,1,4146.95
32,2022-10,1,6148.44
32,2022-11,2,12134.529999999999
32,2023-12,1,9796.04
32,2024-06,1,1494.11
32,2025-01,1,9602.71
32,2025-02,1,9600.54
33,2024-12,1,1192.57
34,2022-12,2,15249.329999999998
34,2024-01,2,3873.33
34,2024-04,1,5803.4
34,2024-07,1,2842.95
34,2025-04,1,9035.18
35,2024-06,1,9784.6
35,2025-03,1,9989.15
36,2022-06,1,7660.25
36,2022-10,1,4961.97
36,2023-04,1,6760.16
36,2023-10,1,7630.82
36,2023-11,1,7976.12
36,2023-12,1,4510.94
36,2024-04,2,6838.65
36,2024-05,1,9687.62
36,2024-09,1,5028.27
36,2024-10,1,915.03
36,2025-05,1,813.72
38,2022-10,1,1962.71
38,2023-07,1,3310.81
38,2023-09,1,1388.98
38,2024-02,1,3580.05
38,2024-05,1,4922.29
38,2024-06,1,6007.29
39,2022-05,1,783.01
39,2023-02,1,4528.71
39,2024-03,1,6734.22
39,2024-04,1,7712.36
39,2024-09,1,2455.42
39,2025-02,1,9402.3
40,2023-02,1,1280.26
40,2024-07,2,1718.92
40,2024-09,1,3653.95
41,2022-10,1,2862.2
41,2023-04,1,4203.04
41,2023-12,1,8964.16
41,2024-10,1,9930.28
41,2025-04,1,4176.75
43,2022-08,1,2546.42
43,2022-10,1,5606.02
43,2023-09,1,8228.22
43,2024-06,1,4875.86
43,2025-01,1,1133.59
45,2022-12,2,8036.26
45,2024-07,1,6795.5
45,2024-08,1,7995.1
45,2025-04,1,9905.42
46,2023-01,1,1148.61
46,2024-03,1,2265.03
47,2022-07,1,4944.3
47,2022-12,1,5685.17
47,2023-05,1,2981.08
47,2024-01,1,9356.05
47,2024-04,1,5321.93
48,2022-06,1,1200.99
48,2023-09,1,4558.42
48,2023-12,1,9918.62
48,2024-07,1,315.79
48,2024-12,3,14768.61
